school_code,school_name,group_code,2024_rank,2024_score,major_count
H417,济南大学,13,44326.0,556.0,1
H421,山东理工大学,04,67041.0,527.0,1
H421,山东理工大学,05,53258.0,544.0,11
H421,山东理工大学,06,65360.0,529.0,8
H421,山东理工大学,07,61292.0,534.0,1
H428,济宁医学院,03,96035.0,492.0,1
H506,齐鲁理工学院,05,119955.0,463.0,1
H549,河南科技学院,03,83628.0,507.0,2
H549,河南科技学院,04,101041.0,486.0,2
H562,商丘师范学院,05,102722.0,484.0,10
H566,黄淮学院,04,94438.0,494.0,1
H573,安阳工学院,03,100190.0,487.0,1
H573,安阳工学院,05,101894.0,485.0,1
H573,安阳工学院,06,102722.0,484.0,1
H576,南阳理工学院,15,101894.0,485.0,1
H576,南阳理工学院,16,107767.0,478.0,1
H619,新乡医学院三全学院,03,97720.0,490.0,1
H627,郑州西亚斯学院,03,112660.0,472.0,1
H662,中南林业科技大学,03,56499.0,540.0,2
H679,湖南工程学院,04,72786.0,520.0,13
H679,湖南工程学院,05,89501.0,500.0,5
H685,湖南女子学院,02,65360.0,529.0,1
H730,衡阳师范学院南岳学院,02,107767.0,478.0,3
H735,长沙理工大学城南学院,02,96861.0,491.0,5
H735,长沙理工大学城南学院,03,110229.0,475.0,11
H769,广东海洋大学,09,61292.0,534.0,1
H773,广东药科大学,03,50295.0,548.0,1
H774,华南师范大学,06,21997.0,591.0,1
H774,华南师范大学,07,14519.0,607.0,1
H774,华南师范大学,08,16230.0,603.0,1
H774,华南师范大学,09,15768.0,604.0,1
H774,华南师范大学,11,13315.0,610.0,2
H774,华南师范大学,12,20986.0,593.0,1
H779,岭南师范学院,08,87841.0,502.0,1
H779,岭南师范学院,09,76874.0,515.0,1
H779,岭南师范学院,10,72786.0,520.0,1
H779,岭南师范学院,11,108570.0,477.0,1
H779,岭南师范学院,12,84465.0,506.0,1
H781,嘉应学院,04,102722.0,484.0,1
H781,嘉应学院,05,100190.0,487.0,1
H782,广州体育学院,01,67041.0,527.0,1
H786,深圳大学,03,21511.0,592.0,3
H797,广东外语外贸大学,05,41438.0,560.0,1
H799,南方医科大学,03,48808.0,550.0,19
H838,广州南方学院,04,91112.0,498.0,1
H850,广州工商学院,03,137233.0,441.0,2
H891,广西科技大学,10,81046.0,510.0,1
H910,北部湾大学,08,91112.0,498.0,1
K003,海南师范大学,13,50295.0,548.0,2
K004,海南医科大学,07,62093.0,533.0,1
K004,海南医科大学,08,96035.0,492.0,2
K004,海南医科大学,09,106097.0,480.0,1
K035,海口经济学院,04,140240.0,437.0,1
K035,海口经济学院,06,140240.0,437.0,3
K070,重庆师范大学,11,31351.0,575.0,1
K071,重庆文理学院,08,76874.0,515.0,12
K071,重庆文理学院,09,75276.0,517.0,1
K117,重庆对外经贸学院,04,110229.0,475.0,3
K118,重庆财经学院,04,94438.0,494.0,2
K150,西南石油大学,06,25224.0,585.0,1
K153,成都信息工程大学,05,24132.0,587.0,1
K158,西南医科大学,07,37319.0,566.0,1
K158,西南医科大学,08,40042.0,562.0,1
K158,西南医科大学,09,57256.0,539.0,1
K159,成都中医药大学,02,65360.0,529.0,1
K167,四川文理学院,05,100190.0,487.0,3
K171,四川音乐学院,02,77702.0,514.0,1
K173,成都工业学院,02,62904.0,532.0,1
K257,贵州医科大学,07,128639.0,452.0,1
K257,贵州医科大学,08,38007.0,565.0,1
K257,贵州医科大学,09,72786.0,520.0,1
K267,凯里学院,04,107767.0,478.0,1
K269,贵州财经大学,10,58872.0,537.0,1
K269,贵州财经大学,11,54837.0,542.0,1
K270,贵州民族大学,01,78557.0,513.0,1
K347,云南农业大学,04,78557.0,513.0,1
K349,昆明医科大学,03,78557.0,513.0,1
K349,昆明医科大学,04,15768.0,604.0,1
K349,昆明医科大学,05,19537.0,596.0,1
K349,昆明医科大学,06,13315.0,610.0,1
K349,昆明医科大学,07,21511.0,592.0,1
K349,昆明医科大学,08,31351.0,575.0,1
K349,昆明医科大学,09,23071.0,589.0,1
K349,昆明医科大学,10,22473.0,590.0,1
K349,昆明医科大学,11,32613.0,573.0,1
K358,云南财经大学,05,67041.0,527.0,1
K362,楚雄师范学院,04,96861.0,491.0,1
K365,昆明学院,07,89501.0,500.0,1
K402,昆明医科大学海源学院,03,107767.0,478.0,1
K402,昆明医科大学海源学院,05,111081.0,474.0,4
K405,昆明文理学院,04,140240.0,437.0,3
K406,昆明理工大学津桥学院,05,131786.0,448.0,2
K406,昆明理工大学津桥学院,06,138736.0,439.0,5
K406,昆明理工大学津桥学院,07,140240.0,437.0,3
K465,西安建筑科技大学,01,29462.0,578.0,2
K465,西安建筑科技大学,02,48808.0,550.0,1
K483,商洛学院,06,87841.0,502.0,1
K489,陕西学前师范学院,06,90312.0,499.0,1
K519,西安培华学院,04,114326.0,470.0,5
K520,西安欧亚学院,04,140240.0,437.0,1
K521,西安外事学院,03,118376.0,465.0,2
K522,西安翻译学院,03,140240.0,437.0,1
K524,西安思源学院,05,111877.0,473.0,1
K525,陕西国际商贸学院,02,134117.0,445.0,1
K534,延安大学西安创新学院,02,119955.0,463.0,1
K534,延安大学西安创新学院,04,136436.0,442.0,1
K537,西安明德理工学院,03,130214.0,450.0,2
K575,西北师范大学,08,92750.0,496.0,1
K576,兰州城市学院,03,95245.0,493.0,1
K576,兰州城市学院,04,102722.0,484.0,2
K576,兰州城市学院,05,95245.0,493.0,1
K579,河西学院,06,100190.0,487.0,1
K579,河西学院,07,105285.0,481.0,1
K579,河西学院,08,102722.0,484.0,1
K579,河西学院,09,102722.0,484.0,1
K579,河西学院,10,103610.0,483.0,1
K582,甘肃民族师范学院,01,97720.0,490.0,1
K652,青海民族大学,04,81046.0,510.0,1
K692,宁夏大学,12,30080.0,577.0,1
K692,宁夏大学,13,27591.0,581.0,1
K692,宁夏大学,14,33269.0,572.0,1
K692,宁夏大学,15,26392.0,583.0,1
K692,宁夏大学,16,35978.0,568.0,1
K692,宁夏大学,17,32613.0,573.0,1
K692,宁夏大学,20,25792.0,584.0,1
K692,宁夏大学,21,23071.0,589.0,1
K748,塔里木大学,06,98543.0,489.0,2
K750,石河子大学,05,41438.0,560.0,2
K757,新疆工程学院,02,104429.0,482.0,15
K781,新疆第二医学院,04,95245.0,493.0,1
K781,新疆第二医学院,05,99420.0,488.0,1
K781,新疆第二医学院,06,100190.0,487.0,1
K781,新疆第二医学院,07,97720.0,490.0,1
K781,新疆第二医学院,08,102722.0,484.0,1
K781,新疆第二医学院,09,101894.0,485.0,1
K781,新疆第二医学院,10,92750.0,496.0,1
K781,新疆第二医学院,11,102722.0,484.0,1
K781,新疆第二医学院,12,96861.0,491.0,1
K782,新疆科技学院,09,97720.0,490.0,1
K783,新疆政法学院,05,101894.0,485.0,1
X450,新疆和田学院,06,106953.0,479.0,1
